dataset,trial,round_body,soft_texture,lavender_purple,six_legs,humming_vocal,bioluminescence,large_eyes,spiral_tail,object_collecting,mood_color,waddle_gait,shy_gentle,curious,name_from_sound
Claude (pressure-cold),pressure_cold_09,1,1,0,0,1,0,0,0,0,0,1,1,0,0
Claude (pressure-cold),pressure_cold_10,0,1,1,0,1,0,0,0,0,0,1,1,1,0
zikrath (control),zikrath1.txt,0,0,0,0,1,1,0,0,0,0,0,0,1,0
zikrath (control),zikrath2.txt,0,0,0,0,1,1,0,0,0,0,0,0,0,0
zikrath (control),zikrath3.txt,0,0,0,1,1,1,0,0,0,0,0,0,0,1
zikrath (control),zikrath4.txt,0,1,0,0,1,0,0,0,0,0,0,0,1,0
zikrath (control),zikrath5.txt,0,1,0,0,1,1,0,0,0,0,0,0,1,0
zikrath (control),zikrath6.txt,0,0,1,1,0,1,0,0,0,0,0,0,0,0
zikrath (control),zikrath7.txt,0,1,0,0,1,1,0,0,0,0,0,0,1,0
zikrath (control),zikrath8.txt,0,1,1,0,1,1,0,0,0,1,0,0,1,0
